# deze spread-sheet bevat gegevens over het gebruik van breedband internet in het Groot-Brittanië
streek,gem sync speed,percentage huizen broadband minder dan 2Mbit/s,percentage supersnel internet (>24Mbit/s),percentage dat broadband heeft tov huizen
City of Bristol,"9,9","4,5",90,71
City of Edinburgh,"10,1","4,5",82,69
Southend-on-Sea,"9,3","5,8",77,68
West Dunbartonshire,"9,5","6,5",89,61
Liverpool District,"9,5","6,6",77,59
North East Lincolnshire,"9,1","6,7",90,60
City of Wolverhampton District,"9,1","6,9",93,60
Inverclyde,"8,6",7,69,58
Torbay,"8,6",7,42,65
Blackpool,"9,5","7,1",63,61
City of Kingston upon Hull,"Unknown","7,2",0,50
East Dunbartonshire,9,"7,7",77,73
Dundee City,"9,3","7,8",88,61
East Renfrewshire,"8,6","7,8",86,78
London,"8,8","7,9",85,78
Bournemouth,9,8,79,68
The City of Brighton and Hove,"9,3",8,92,80
City of Nottingham,"9,1","8,2",88,62
Salford District,"9,1","8,2",75,59
Birmingham District,"8,9","8,3",86,64
City of Leicester,"8,8","8,3",89,65
Reading,"8,9","8,3",98,77
Sefton District,"8,8","8,3",68,65
Stockport District,"8,8","8,3",94,67
Belfast,"8,9","8,4",97,60
Newcastle upon Tyne District,"8,8","8,6",63,64
Dudley District,"8,5","8,8",92,62
Gateshead District,"8,8","8,9",68,61
Falkirk,"8,4","9,2",81,69
Sandwell District,"8,7","9,2",78,55
Trafford District,"8,5","9,4",87,72
Middlesbrough,9,"9,6",91,58
Coventry District,"8,3","9,7",66,65
Wirral District,"8,3","9,9",60,65
Glasgow City,"8,9",10,59,58
Solihull District,"8,3",10,89,68
Redcar and Cleveland,"8,6","10,1",87,62
Telford and Wrekin,"8,3","10,1",75,67
City of Portsmouth,"8,9","10,2",95,67
City of Plymouth,"8,7","10,3",88,69
City of Southampton,8,"10,3",46,67
Tameside District,"7,7","10,5",86,61
Walsall District,"8,2","10,6",87,58
Manchester District,"8,2","10,7",78,63
Renfrewshire,"84","10,7",68,64
Bradford District,"8,3","10,8",81,62
City of Derby,"8,4","11,1",89,65
Wigan District,"8,6","11,1",87,63
East Lothian,"7,1","11,4",0,68
Bolton District,"8,2","11,9",83,64
Aberdeen City,"7,4","12,2",0,74
Poole,8,"12,3",78,71
Isle of Wight,"7,3","12,4",0,64
North Tyneside District,"8,1","12,5",59,65
Angus,"7,1","12,6",14,65
Swansea,"8,2","12,6",68,63
North Ayrshire,"7,3","12,9",0,58
Swindon,"7,6","13,1",87,71
Blackburn with Darwen,"Unknown","13,2",62,63
West Sussex County,"7,3","13,3",42,73
Bury District,"7,1","13,4",90,64
North Somerset,7,"13,4",48,72
Perth and Kinross,"6,9","13,4",33,67
South Gloucestershire,8,"13,4",75,72
City of Stoke-on-Trent,"7,6","13,5",78,58
York,"7,1","13,5",59,70
East Riding of Yorkshire,"7,9","13,6",0,61
Argyll and Bute,6,"13,7",0,63
Blaenau Gwent,"7,5","13,7",0,54
Surrey County,"7,4","13,7",77,78
West Lothian,"7,5","13,7",45,70
Central Bedfordshire,"7,5","13,8",67,73
Medway,"8,2","13,8",77,70
Fife,7,14,48,65
Hertfordshire County,"7,7","14,1",85,76
Leeds District,"7,9","14,1",82,64
South Tyneside District,"8,2","14,2",77,57
Stockton-on-Tees,"8,3","14,2",84,64
West Berkshire,"6,9","14,2",63,77
Leicestershire County,"7,4","14,3",64,70
Thurrock,8,"14,3",75,71
Wiltshire,"6,8","14,4",43,74
Darlington,"7,8","14,5",83,62
